Kategoria: Wszystko

Miesiąc,fedora: (Cały świat)
2004-01,50
2004-02,60
2004-03,64
2004-04,69
2004-05,91
2004-06,91
2004-07,89
2004-08,86
2004-09,85
2004-10,89
2004-11,100
2004-12,95
2005-01,94
2005-02,95
2005-03,85
2005-04,70
2005-05,79
2005-06,94
2005-07,80
2005-08,78
2005-09,75
2005-10,70
2005-11,64
2005-12,61
2006-01,60
2006-02,59
2006-03,71
2006-04,74
2006-05,61
2006-06,57
2006-07,54
2006-08,55
2006-09,53
2006-10,67
2006-11,69
2006-12,55
2007-01,54
2007-02,55
2007-03,53
2007-04,47
2007-05,45
2007-06,57
2007-07,47
2007-08,44
2007-09,43
2007-10,42
2007-11,54
2007-12,43
2008-01,37
2008-02,38
2008-03,36
2008-04,38
2008-05,47
2008-06,37
2008-07,39
2008-08,33
2008-09,34
2008-10,33
2008-11,37
2008-12,36
2009-01,31
2009-02,33
2009-03,31
2009-04,30
2009-05,27
2009-06,34
2009-07,28
2009-08,25
2009-09,25
2009-10,24
2009-11,29
2009-12,24
2010-01,21
2010-02,22
2010-03,22
2010-04,21
2010-05,23
2010-06,22
2010-07,18
2010-08,18
2010-09,18
2010-10,19
2010-11,21
2010-12,18
2011-01,17
2011-02,17
2011-03,17
2011-04,19
2011-05,22
2011-06,20
2011-07,18
2011-08,17
2011-09,17
2011-10,18
2011-11,20
2011-12,17
2012-01,15
2012-02,15
2012-03,15
2012-04,14
2012-05,15
2012-06,16
2012-07,15
2012-08,13
2012-09,13
2012-10,13
2012-11,13
2012-12,11
2013-01,14
2013-02,13
2013-03,13
2013-04,11
2013-05,11
2013-06,11
2013-07,12
2013-08,11
2013-09,11
2013-10,12
2013-11,11
2013-12,12
2014-01,11
2014-02,12
2014-03,11
2014-04,10
2014-05,10
2014-06,9
2014-07,9
2014-08,9
2014-09,10
2014-10,9
2014-11,9
2014-12,10
2015-01,10
2015-02,10
2015-03,9
2015-04,9
2015-05,9
2015-06,8
2015-07,9
2015-08,8
2015-09,8
2015-10,9
2015-11,9
2015-12,8
2016-01,7
2016-02,7
2016-03,7
2016-04,7
2016-05,7
2016-06,7
2016-07,7
2016-08,6
2016-09,7
2016-10,7
2016-11,7
2016-12,7
2017-01,6
2017-02,6
2017-03,6
2017-04,6
2017-05,6
2017-06,6
2017-07,6
2017-08,5
2017-09,5
2017-10,6
2017-11,6
2017-12,5
2018-01,5
2018-02,5
2018-03,5
2018-04,5
2018-05,5
2018-06,5
2018-07,5
2018-08,5
2018-09,5
2018-10,5
2018-11,5
2018-12,5
2019-01,5
2019-02,5
2019-03,5
2019-04,5
2019-05,5
2019-06,5
2019-07,5
2019-08,4
2019-09,4
2019-10,5
2019-11,5
2019-12,4
2020-01,4
2020-02,4
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,4
2020-08,4
2020-09,4
2020-10,4
2020-11,4
2020-12,4
2021-01,4
2021-02,4
2021-03,4
2021-04,4
2021-05,4
2021-06,4
2021-07,4
2021-08,4
2021-09,4
2021-10,4
2021-11,4
2021-12,4
2022-01,4
2022-02,5
2022-03,5
2022-04,5
2022-05,5
2022-06,4
2022-07,5
2022-08,4
2022-09,4
2022-10,5
2022-11,5
2022-12,4
2023-01,4
2023-02,4
2023-03,4
2023-04,4
2023-05,4
2023-06,4
2023-07,4
2023-08,4
2023-09,4
2023-10,5
2023-11,5
2023-12,4
2024-01,4
2024-02,5
2024-03,5
2024-04,5
2024-05,5
