Kategoria: Wszystko

Kraj,JavaScript: (Od 1.01.2004 do 3.05.2024)
Korea Północna,
Brytyjskie Terytorium Oceanu Indyjskiego,
Madagaskar,
Armenia,100
Chiny,96
Korea Południowa,95
Wyspa Świętej Heleny,
Nepal,58
Izrael,56
Białoruś,55
Hongkong,54
Indie,53
Estonia,51
Sri Lanka,49
Tunezja,48
Ukraina,48
Macedonia Północna,
Rwanda,
Singapur,47
Islandia,
Kuba,
Pakistan,46
Mongolia,
Łotwa,44
Benin,
Mołdawia,
Wyspy Alandzkie,
Luksemburg,
Gibraltar,
Mjanma (Birma),
Kosowo,
Czechy,38
Kamerun,
Bangladesz,38
Malta,
Bułgaria,38
Etiopia,
Gruzja,
Tajwan,37
Kambodża,
San Marino,
Togo,
Erytrea,
Szwecja,35
Serbia,34
Finlandia,34
Rosja,34
Monako,
Japonia,33
Uzbekistan,
Litwa,33
Mauritius,
Portugalia,33
Nowa Zelandia,32
Szwajcaria,32
Holandia,32
Słowenia,31
Norwegia,31
Dania,30
Rumunia,30
Liban,
Filipiny,30
Kanada,30
Wyspy Owcze,
Albania,
Cypr,
Kenia,28
Makau,
Kostaryka,28
Węgry,28
Austria,28
Nigeria,28
Liechtenstein,
Bhutan,
Urugwaj,27
Belgia,27
Kirgistan,
Niemcy,27
Irlandia,26
Burundi,
Stany Zjednoczone,26
Republika Zielonego Przylądka,
Francja,26
Australia,25
Maroko,25
Wietnam,25
Słowacja,25
Senegal,
Polska,24
Malediwy,
Bośnia i Hercegowina,
Andora,
Czarnogóra,
Hiszpania,23
Wyspy Świętego Tomasza i Książęca,
Chorwacja,23
Wielka Brytania,22
Malawi,
Republika Południowej Afryki,22
Ghana,
Côte d’Ivoire,
Palestyna,
Somalia,
Laos,
Salwador,
Wyspa Man,
Kolumbia,20
Jordania,
Azerbejdżan,
Uganda,
Malezja,19
Nikaragua,
Zimbabwe,
Grecja,18
Zjednoczone Emiraty Arabskie,18
Afganistan,
Argentyna,18
Nowa Kaledonia,
Boliwia,
Egipt,18
Chile,18
Lesotho,
Angola,
Jamajka,
Kongo,
Gambia,
Jersey,
Kazachstan,17
Brazylia,17
Meksyk,17
Tadżykistan,
Botswana,
Barbados,
Polinezja Francuska,
Montserrat,
Gwatemala,
Tajlandia,16
Guernsey,
Peru,16
Włochy,16
Eswatini,
Vanuatu,
Honduras,
Sahara Zachodnia,
Kajmany,
Belize,
Palau,
Kiribati,
Ekwador,15
Curaçao,
Reunion,
Dominikana,
Indonezja,15
Demokratyczna Republika Konga,
Bahrajn,
Wyspy Cooka,
Iran,14
Panama,
Gabon,
Tanzania,
Mauretania,
Svalbard i Jan Mayen,
Wenezuela,13
Seszele,
Antigua i Barbuda,
Syria,
Papua-Nowa Gwinea,
Mozambik,
Trynidad i Tobago,
Paragwaj,
Komory,
Mikronezja,
Dżibuti,
Dominika,
Katar,
Grenlandia,
Tonga,
Saint Kitts i Nevis,
Bermudy,
Niger,
Turkmenistan,
Wyspy Dziewicze Stanów Zjednoczonych,
Gwinea Równikowa,
Namibia,
Zambia,
Saint Vincent i Grenadyny,
Grenada,
Haiti,
Fidżi,
Saint Lucia,
Mariany Północne,
Algieria,10
Brunei,
Portoryko,
Surinam,
Liberia,
Aruba,
Turcja,10
Oman,
Gwinea,
Gwadelupa,
Gujana,
Burkina Faso,
Falklandy (Malwiny),
Jemen,
Anguilla,
Niderlandy Karaibskie,
Saint-Barthélemy,
Sint Maarten,
Wyspy Marshalla,
Martynika,
Sierra Leone,
Brytyjskie Wyspy Dziewicze,
Saint-Pierre i Miquelon,
Sudan,
Saint-Martin,
Kuwejt,
Czad,
Samoa,
Republika Środkowoafrykańska,
Wyspy Salomona,
Mali,
Timor Wschodni,
Turks i Caicos,
Gujana Francuska,
Majotta,
Bahamy,
Guam,
Arabia Saudyjska,7
Libia,
Sudan Południowy,
Irak,
Samoa Amerykańskie,
Gwinea Bissau,
Wyspa Bożego Narodzenia,
Antarktyda,
Watykan,
Norfolk,
Francuskie Terytoria Południowe i Antarktyczne,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Niue,
Tuvalu,
Pitcairn,
Wallis i Futuna,
Wyspy Heard i McDonalda,
Wyspa Bouveta,
Tokelau,
Nauru,
Georgia Południowa i Sandwich Południowy,
Wyspy Kokosowe,
