Kategoria: Wszystko

Miesiąc,JavaScript: (Cały świat)
2004-01,99
2004-02,96
2004-03,99
2004-04,100
2004-05,91
2004-06,97
2004-07,94
2004-08,97
2004-09,88
2004-10,86
2004-11,84
2004-12,82
2005-01,76
2005-02,81
2005-03,80
2005-04,76
2005-05,76
2005-06,80
2005-07,78
2005-08,77
2005-09,72
2005-10,72
2005-11,72
2005-12,70
2006-01,70
2006-02,72
2006-03,74
2006-04,65
2006-05,67
2006-06,68
2006-07,64
2006-08,68
2006-09,62
2006-10,64
2006-11,63
2006-12,58
2007-01,58
2007-02,58
2007-03,60
2007-04,58
2007-05,61
2007-06,60
2007-07,61
2007-08,58
2007-09,55
2007-10,59
2007-11,60
2007-12,53
2008-01,52
2008-02,54
2008-03,53
2008-04,53
2008-05,50
2008-06,54
2008-07,54
2008-08,52
2008-09,51
2008-10,48
2008-11,48
2008-12,48
2009-01,44
2009-02,49
2009-03,50
2009-04,49
2009-05,48
2009-06,49
2009-07,47
2009-08,45
2009-09,44
2009-10,42
2009-11,45
2009-12,42
2010-01,42
2010-02,41
2010-03,43
2010-04,42
2010-05,40
2010-06,40
2010-07,38
2010-08,37
2010-09,36
2010-10,35
2010-11,37
2010-12,36
2011-01,35
2011-02,36
2011-03,38
2011-04,36
2011-05,36
2011-06,36
2011-07,35
2011-08,37
2011-09,35
2011-10,35
2011-11,35
2011-12,33
2012-01,34
2012-02,36
2012-03,39
2012-04,35
2012-05,36
2012-06,35
2012-07,36
2012-08,34
2012-09,34
2012-10,35
2012-11,32
2012-12,30
2013-01,32
2013-02,34
2013-03,34
2013-04,33
2013-05,33
2013-06,33
2013-07,35
2013-08,33
2013-09,33
2013-10,35
2013-11,34
2013-12,32
2014-01,33
2014-02,34
2014-03,34
2014-04,36
2014-05,36
2014-06,35
2014-07,34
2014-08,33
2014-09,35
2014-10,34
2014-11,34
2014-12,32
2015-01,33
2015-02,37
2015-03,36
2015-04,36
2015-05,34
2015-06,35
2015-07,36
2015-08,33
2015-09,34
2015-10,37
2015-11,34
2015-12,34
2016-01,34
2016-02,38
2016-03,36
2016-04,36
2016-05,38
2016-06,38
2016-07,34
2016-08,36
2016-09,36
2016-10,37
2016-11,39
2016-12,36
2017-01,38
2017-02,40
2017-03,43
2017-04,41
2017-05,40
2017-06,39
2017-07,38
2017-08,40
2017-09,40
2017-10,39
2017-11,40
2017-12,35
2018-01,38
2018-02,39
2018-03,40
2018-04,38
2018-05,40
2018-06,37
2018-07,37
2018-08,37
2018-09,37
2018-10,37
2018-11,37
2018-12,31
2019-01,34
2019-02,36
2019-03,36
2019-04,37
2019-05,36
2019-06,36
2019-07,37
2019-08,37
2019-09,36
2019-10,37
2019-11,36
2019-12,32
2020-01,33
2020-02,37
2020-03,34
2020-04,35
2020-05,34
2020-06,36
2020-07,37
2020-08,33
2020-09,34
2020-10,28
2020-11,25
2020-12,24
2021-01,25
2021-02,26
2021-03,27
2021-04,28
2021-05,26
2021-06,28
2021-07,27
2021-08,27
2021-09,30
2021-10,29
2021-11,30
2021-12,30
2022-01,39
2022-02,44
2022-03,50
2022-04,47
2022-05,45
2022-06,46
2022-07,43
2022-08,43
2022-09,45
2022-10,41
2022-11,46
2022-12,43
2023-01,39
2023-02,46
2023-03,45
2023-04,39
2023-05,39
2023-06,41
2023-07,39
2023-08,39
2023-09,36
2023-10,34
2023-11,34
2023-12,30
2024-01,37
2024-02,40
2024-03,38
2024-04,38
2024-05,37
