Kategoria: Wszystko

Kraj,Python: (Od 1.01.2004 do 3.05.2024)
Korea Północna,
Brytyjskie Terytorium Oceanu Indyjskiego,
Wyspa Świętej Heleny,100
Chiny,85
Singapur,74
Svalbard i Jan Mayen,
Izrael,70
Korea Południowa,69
Erytrea,
Hongkong,56
Indie,53
Islandia,
Bhutan,
Tajwan,44
Madagaskar,
Nepal,42
Szwajcaria,40
Estonia,
Norwegia,39
Armenia,
Tunezja,37
Makau,
Stany Zjednoczone,36
Luksemburg,
Rwanda,
Kuba,
Etiopia,
Finlandia,34
Kanada,34
Szwecja,33
Sri Lanka,33
Irlandia,33
Czechy,31
Australia,31
Rosja,31
Zimbabwe,
Nowa Zelandia,30
Holandia,30
Kamerun,
Liechtenstein,
Dania,29
Niemcy,29
Kenia,28
Wielka Brytania,28
Słowenia,27
Pakistan,27
Benin,
Uzbekistan,
Austria,26
Białoruś,26
Togo,
Cypr,
Portugalia,25
Francja,25
Belgia,24
Mjanma (Birma),
Ghana,
Japonia,23
Nigeria,23
Ukraina,23
Mongolia,
Kirgistan,
Bangladesz,23
Senegal,
Lesotho,
Republika Południowej Afryki,22
Botswana,
Gruzja,
Gibraltar,
Liban,
Chorwacja,21
Malta,
Wyspy Owcze,
Uganda,
Zjednoczone Emiraty Arabskie,20
Polska,20
Węgry,20
Maroko,20
Kazachstan,20
Łotwa,
Grecja,19
Słowacja,19
Malawi,
Litwa,
Wyspy Alandzkie,
Guernsey,
Eswatini,
Serbia,18
Macedonia Północna,
Côte d’Ivoire,
Laos,
Mauritius,
Somalia,
Kostaryka,
Tonga,
Bermudy,
Sahara Zachodnia,
Rumunia,17
Andora,
Chile,17
Bułgaria,17
Hiszpania,17
Vanuatu,
Dżibuti,
Burundi,
Azerbejdżan,
Katar,
Filipiny,16
Palestyna,
Kajmany,
Wyspa Man,
Republika Zielonego Przylądka,
Kolumbia,16
Malediwy,
Reunion,
Nowa Kaledonia,
Mołdawia,
Kambodża,
Wietnam,15
Kongo,
Kiribati,
Malezja,15
Jersey,
Kosowo,
Gambia,
Egipt,14
Polinezja Francuska,
Gujana Francuska,
Czarnogóra,
Saint-Barthélemy,
Zambia,
Albania,
Oman,
Jamajka,
Papua-Nowa Gwinea,
Wyspy Dziewicze Stanów Zjednoczonych,
Mauretania,
Majotta,
Namibia,
Wyspy Świętego Tomasza i Książęca,
Niger,
Grenlandia,
Belize,
Barbados,
Monako,
Demokratyczna Republika Konga,
Urugwaj,
Włochy,12
Brunei,
Ekwador,12
San Marino,
Afganistan,
Bahrajn,
Seszele,
Saint Kitts i Nevis,
Brazylia,12
Burkina Faso,
Sierra Leone,
Gabon,
Trynidad i Tobago,
Iran,11
Argentyna,11
Jordania,
Montserrat,
Tajlandia,11
Gujana,
Portoryko,
Peru,11
Czad,
Algieria,10
Saint-Martin,
Curaçao,
Bośnia i Hercegowina,
Grenada,
Turkmenistan,
Fidżi,
Angola,
Gwinea Równikowa,
Antigua i Barbuda,
Boliwia,
Tanzania,
Wyspy Cooka,
Meksyk,10
Gwatemala,
Gwadelupa,
Panama,
Turks i Caicos,
Tadżykistan,
Paragwaj,
Saint Lucia,
Niderlandy Karaibskie,
Komory,
Timor Wschodni,
Guam,
Indonezja,9
Republika Środkowoafrykańska,
Falklandy (Malwiny),
Saint Vincent i Grenadyny,
Martynika,
Salwador,
Dominika,
Bahamy,
Sudan Południowy,
Turcja,8
Liberia,
Gwinea,
Mikronezja,
Sudan,
Wyspy Marshalla,
Mali,
Syria,
Anguilla,
Mariany Północne,
Dominikana,
Aruba,
Sint Maarten,
Haiti,
Palau,
Saint-Pierre i Miquelon,
Mozambik,
Kuwejt,
Arabia Saudyjska,7
Surinam,
Honduras,
Nikaragua,
Jemen,
Wyspy Salomona,
Brytyjskie Wyspy Dziewicze,
Samoa Amerykańskie,
Irak,
Libia,
Wenezuela,
Gwinea Bissau,
Samoa,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Antarktyda,
Watykan,
Georgia Południowa i Sandwich Południowy,
Wyspa Bouveta,
Francuskie Terytoria Południowe i Antarktyczne,
Wyspy Kokosowe,
Tuvalu,
Wyspy Heard i McDonalda,
Wallis i Futuna,
Pitcairn,
Wyspa Bożego Narodzenia,
Nauru,
Niue,
Norfolk,
Tokelau,
