Kategoria: Wszystko

Miesiąc,Python: (Cały świat)
2004-01,29
2004-02,27
2004-03,27
2004-04,29
2004-05,27
2004-06,28
2004-07,29
2004-08,28
2004-09,28
2004-10,26
2004-11,26
2004-12,27
2005-01,25
2005-02,27
2005-03,26
2005-04,26
2005-05,28
2005-06,27
2005-07,26
2005-08,26
2005-09,26
2005-10,36
2005-11,26
2005-12,24
2006-01,26
2006-02,25
2006-03,25
2006-04,24
2006-05,24
2006-06,24
2006-07,24
2006-08,25
2006-09,25
2006-10,25
2006-11,23
2006-12,22
2007-01,23
2007-02,23
2007-03,23
2007-04,22
2007-05,23
2007-06,23
2007-07,22
2007-08,23
2007-09,22
2007-10,23
2007-11,23
2007-12,22
2008-01,21
2008-02,21
2008-03,21
2008-04,22
2008-05,22
2008-06,21
2008-07,22
2008-08,21
2008-09,20
2008-10,22
2008-11,23
2008-12,21
2009-01,20
2009-02,23
2009-03,23
2009-04,23
2009-05,21
2009-06,21
2009-07,23
2009-08,22
2009-09,23
2009-10,24
2009-11,21
2009-12,21
2010-01,20
2010-02,22
2010-03,22
2010-04,22
2010-05,22
2010-06,20
2010-07,20
2010-08,21
2010-09,20
2010-10,21
2010-11,21
2010-12,20
2011-01,21
2011-02,21
2011-03,21
2011-04,22
2011-05,24
2011-06,21
2011-07,21
2011-08,21
2011-09,21
2011-10,22
2011-11,22
2011-12,21
2012-01,21
2012-02,22
2012-03,22
2012-04,22
2012-05,21
2012-06,21
2012-07,22
2012-08,22
2012-09,23
2012-10,24
2012-11,23
2012-12,21
2013-01,23
2013-02,25
2013-03,24
2013-04,25
2013-05,24
2013-06,23
2013-07,23
2013-08,27
2013-09,25
2013-10,27
2013-11,30
2013-12,26
2014-01,26
2014-02,26
2014-03,28
2014-04,28
2014-05,26
2014-06,26
2014-07,29
2014-08,25
2014-09,28
2014-10,31
2014-11,29
2014-12,26
2015-01,26
2015-02,30
2015-03,30
2015-04,30
2015-05,29
2015-06,29
2015-07,30
2015-08,29
2015-09,32
2015-10,34
2015-11,33
2015-12,30
2016-01,33
2016-02,37
2016-03,38
2016-04,37
2016-05,37
2016-06,37
2016-07,34
2016-08,36
2016-09,40
2016-10,41
2016-11,43
2016-12,40
2017-01,40
2017-02,47
2017-03,51
2017-04,48
2017-05,45
2017-06,49
2017-07,46
2017-08,44
2017-09,52
2017-10,52
2017-11,55
2017-12,48
2018-01,50
2018-02,55
2018-03,55
2018-04,55
2018-05,55
2018-06,57
2018-07,52
2018-08,55
2018-09,60
2018-10,63
2018-11,61
2018-12,51
2019-01,56
2019-02,61
2019-03,64
2019-04,61
2019-05,63
2019-06,62
2019-07,64
2019-08,63
2019-09,71
2019-10,72
2019-11,72
2019-12,63
2020-01,67
2020-02,72
2020-03,70
2020-04,72
2020-05,69
2020-06,68
2020-07,70
2020-08,67
2020-09,69
2020-10,62
2020-11,53
2020-12,55
2021-01,54
2021-02,55
2021-03,60
2021-04,60
2021-05,58
2021-06,58
2021-07,55
2021-08,55
2021-09,64
2021-10,67
2021-11,67
2021-12,64
2022-01,80
2022-02,95
2022-03,100
2022-04,95
2022-05,91
2022-06,87
2022-07,87
2022-08,88
2022-09,92
2022-10,95
2022-11,96
2022-12,84
2023-01,87
2023-02,97
2023-03,92
2023-04,79
2023-05,79
2023-06,78
2023-07,77
2023-08,79
2023-09,81
2023-10,86
2023-11,81
2023-12,74
2024-01,75
2024-02,87
2024-03,85
2024-04,82
2024-05,80
